# x0 = y0, u0, v0, t, x, u, v, delta0.05,	0.05,	0.05,	2.2262,	0.0137983,	-0.0406399,	0.0452796,	1.86803e-07
0.05,	0.25,	0.07,	8.75793,	0.0497809,	-0.256215,	0.127266,	3.66765e-07
0.05,	0.26,	0.07,	8,	0.05,	-0.26,	0.07,	0.490214
0.05,	0.27,	0.07,	8,	0.05,	-0.27,	0.07,	0.71403
0.05,	0.28,	0.07,	8,	0.05,	-0.28,	0.07,	0.548795
0.05,	0.29,	0.07,	8,	0.05,	-0.29,	0.07,	0.267859
0.05,	0.3,	0.07,	2.00517,	0.0119632,	-0.242225,	0.207209,	0.00277298
0.05,	0.31,	0.07,	20.473,	0.126913,	-0.23455,	0.23455,	2.59893e-08
0.05,	0.32,	0.07,	8,	0.05,	-0.32,	0.07,	0.708348
0.05,	0.33,	0.07,	7.83011,	0.0728152,	-0.214469,	0.00467289,	0.192737
0.05,	0.34,	0.07,	6.46382,	0.0373039,	-0.356351,	0.14548,	0.050919
0.05,	0.35,	0.07,	2.00287,	0.0101814,	-0.404789,	0.0867946,	0.0164271
0.05,	0.36,	0.07,	7.67433,	0.0553732,	-0.226831,	0.226831,	3.68089e-07
0.05,	0.37,	0.07,	2.07407,	0.0248013,	-0.225429,	0.225429,	9.94183e-08
0.05,	0.38,	0.07,	8,	0.05,	-0.38,	0.07,	0.550826
0.05,	0.39,	0.07,	8,	0.05,	-0.39,	0.07,	0.622896
0.05,	0.4,	0.07,	8,	0.05,	-0.4,	0.07,	0.656627
0.05,	0.41,	0.07,	8.5578,	0.0562444,	-0.412609,	0.00251621,	0.101281
0.05,	0.42,	0.07,	7.56134,	0.0445465,	-0.436892,	0.00228954,	0.0994237
0.05,	0.43,	0.07,	9.49865,	0.0604504,	-0.423397,	0.00238068,	0.0777346
0.05,	0.44,	0.07,	8,	0.05,	-0.44,	0.07,	0.558716
0.05,	0.45,	0.07,	7.47202,	0.0676276,	-0.227701,	0.227701,	5.51554e-08
0.05,	0.46,	0.07,	7.8119,	0.130684,	-0.106387,	0.36346,	3.64862e-07
0.05,	0.47,	0.07,	5.26178,	0.0634164,	-0.227382,	0.227382,	1.0423e-07
0.05,	0.48,	0.07,	10.2513,	0.127112,	-0.234581,	0.234581,	1.55796e-08
0.05,	0.49,	0.07,	6.96673,	0.0845782,	-0.229203,	0.229203,	1.76487e-08
0.05,	0.05,	0.08,	5.64836,	0.0351905,	-0.00880503,	0.113577,	0.161256
0.05,	0.06,	0.08,	5.73527,	0.0348528,	-0.00824188,	0.128911,	0.122347
0.05,	0.07,	0.08,	6.92361,	0.0420243,	-0.0087615,	0.130354,	0.132087
0.05,	0.08,	0.08,	2.04177,	0.0115035,	-0.125599,	0.121178,	2.63739e-07
0.05,	0.09,	0.08,	3.40672,	0.0190613,	-0.103784,	0.14558,	1.09413e-06
0.05,	0.1,	0.08,	2.03232,	0.0114508,	-0.121945,	0.124817,	1.608e-07
0.05,	0.11,	0.08,	8.04022,	0.0447615,	-0.110496,	0.14658,	2.66879e-07
0.05,	0.12,	0.08,	8.75618,	0.0580289,	-0.141499,	0.0111251,	5.45503e-08
0.05,	0.13,	0.08,	4.15311,	0.028169,	-0.0297744,	0.11508,	1.64007e-07
0.05,	0.14,	0.08,	2.07234,	0.011565,	-0.22869,	0.055325,	0.0359877
0.05,	0.15,	0.08,	8,	0.05,	-0.15,	0.08,	0.206458
0.05,	0.16,	0.08,	8,	0.05,	-0.16,	0.08,	0.108193
0.05,	0.17,	0.08,	2.04879,	0.00866271,	-0.299839,	0.15217,	0.00880148
0.05,	0.18,	0.08,	6.75243,	0.0297241,	-0.33365,	0.148099,	1.72036e-07
0.05,	0.19,	0.08,	7.49246,	0.042407,	-0.00548896,	0.238038,	0.21244
0.05,	0.2,	0.08,	6.74387,	0.0538821,	-0.00852768,	0.120292,	0.171736
0.05,	0.21,	0.08,	6.68485,	0.0477191,	-0.168272,	0.0170162,	0.194293
0.05,	0.22,	0.08,	8.04893,	0.0500296,	-0.21263,	0.13434,	1.52121e-07
0.05,	0.23,	0.08,	7.99242,	0.045438,	-0.258987,	0.120058,	3.09697e-07
0.05,	0.24,	0.08,	7.99096,	0.0450652,	-0.262238,	0.119866,	8.62911e-08
0.05,	0.25,	0.08,	7.56977,	0.0339674,	-0.327436,	0.150031,	4.45393e-07
0.05,	0.26,	0.08,	8,	0.05,	-0.26,	0.08,	0.570858
0.05,	0.27,	0.08,	61.3219,	5.64646,	24.8183,	-46.6003,	0
0.05,	0.28,	0.08,	2.00359,	0.0119662,	-0.22516,	0.22516,	1.79439e-07
0.05,	0.29,	0.08,	2.05941,	0.0122998,	-0.225165,	0.225165,	4.18372e-07
0.05,	0.3,	0.08,	6.58238,	0.0474045,	-0.226361,	0.226361,	9.08311e-08
0.05,	0.31,	0.08,	7.98405,	0.0479213,	-0.226389,	0.226389,	3.79839e-08
0.05,	0.32,	0.08,	2.00686,	0.0239953,	0.225407,	-0.225406,	2.8794e-07
0.05,	0.33,	0.08,	6.06119,	0.0605324,	-0.167337,	0.00774377,	0.157195
0.05,	0.34,	0.08,	8.31342,	0.0600597,	-0.227143,	0.227143,	3.16492e-07
0.05,	0.35,	0.08,	2.00022,	0.010571,	-0.399745,	0.0591467,	0.019627
0.05,	0.36,	0.08,	8.4805,	0.0612879,	-0.227229,	0.227229,	5.26138e-07
0.05,	0.37,	0.08,	5.78428,	0.0416072,	-0.226065,	0.226066,	1.8319e-07
0.05,	0.38,	0.08,	8,	0.05,	-0.38,	0.08,	0.570557
0.05,	0.39,	0.08,	8,	0.05,	-0.39,	0.08,	0.639407
0.05,	0.4,	0.08,	8,	0.05,	-0.4,	0.08,	0.659831
